# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:02 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	mds.residual.precision	sigmaXprec.h1	tauXprec.h1	tauTprec.h1	omega.h1	theta.h1	mu0.h1	sigmaXprec.h3	tauXprec.h3	tauTprec.h3	omega.h3	theta.h3	mu0.h3	sigmaXprec.yam	tauXprec.yam	tauTprec.yam	omega.yam	theta.yam	mu0.yam	sigmaXprec.vic	tauXprec.vic	tauTprec.vic	omega.vic	theta.vic	mu0.vic
810000	0.6846252078676517	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
820000	0.684216284886965	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
830000	0.6845809388087476	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
840000	0.6842014298107008	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
850000	0.6839391688314967	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
860000	0.6845891702199784	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
870000	0.6844148596203499	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
880000	0.6843341084569361	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
890000	0.6842187794588575	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
900000	0.684344948869773	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
910000	0.683892736788605	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
920000	0.6845998245444743	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
930000	0.6843112535530657	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
940000	0.6845638204225479	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
950000	0.6842846299721869	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
960000	0.6843512724395252	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
970000	0.6841270819715393	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
980000	0.6845245759551061	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
