# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:01 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	posterior	prior	likelihood	mdsLikelihood
1170000	-1.8559752790801816E7	-1465.1976432513175	-1.8558287593158565E7	-1.8558287593158565E7
1180000	-1.855969817827378E7	-1466.067337636513	-1.8558232110936143E7	-1.8558232110936143E7
1190000	-1.855967219459329E7	-1465.6050891537761	-1.8558206589504138E7	-1.8558206589504138E7
1200000	-1.855966473740452E7	-1465.831305876255	-1.8558198906098645E7	-1.8558198906098645E7
1210000	-1.855973409103425E7	-1465.8951816370854	-1.855826819585261E7	-1.855826819585261E7
1220000	-1.8559482591536276E7	-1466.4362491522497	-1.8558016155287124E7	-1.8558016155287124E7
1230000	-1.8559674810605124E7	-1465.8148350173574	-1.8558208995770108E7	-1.8558208995770108E7
1240000	-1.8559743011161834E7	-1464.5312425868308	-1.8558278479919247E7	-1.8558278479919247E7
1250000	-1.8559584952934716E7	-1464.540395463163	-1.855812041253925E7	-1.855812041253925E7
1260000	-1.8559562807016168E7	-1464.5747966658587	-1.8558098232219502E7	-1.8558098232219502E7
1270000	-1.855957627429625E7	-1464.5160184561942	-1.8558111758277792E7	-1.8558111758277792E7
1280000	-1.8559645205731288E7	-1463.8236382221469	-1.8558181382093064E7	-1.8558181382093064E7
1290000	-1.8559630903944287E7	-1464.8576010680604	-1.855816604634322E7	-1.855816604634322E7
1300000	-1.8559586391054504E7	-1464.4170025416338	-1.8558121974051964E7	-1.8558121974051964E7
1310000	-1.855958142564742E7	-1464.009163936275	-1.8558117416483484E7	-1.8558117416483484E7
1320000	-1.8559630243148506E7	-1464.0126089019197	-1.8558166230539605E7	-1.8558166230539605E7
1330000	-1.8559674009796336E7	-1464.9052292252295	-1.855820910456711E7	-1.855820910456711E7
1340000	-1.8559645818022087E7	-1465.3829210093695	-1.8558180435101077E7	-1.8558180435101077E7
1350000	-1.855960412126123E7	-1464.8114141304209	-1.85581393098471E7	-1.85581393098471E7
1360000	-1.855970994421914E7	-1464.8616343018812	-1.8558245082584836E7	-1.8558245082584836E7
1370000	-1.8559693009024505E7	-1464.1540008372297	-1.8558228855023667E7	-1.8558228855023667E7
1380000	-1.8559673567758445E7	-1465.11460966407	-1.8558208453148782E7	-1.8558208453148782E7
1390000	-1.8559721202840075E7	-1465.1855403345612	-1.855825601729974E7	-1.855825601729974E7
1400000	-1.8559714682774987E7	-1463.9375174720954	-1.8558250745257515E7	-1.8558250745257515E7
1410000	-1.8559691461905684E7	-1463.7049250634122	-1.855822775698062E7	-1.855822775698062E7
1420000	-1.8559642431796093E7	-1463.1261269176857	-1.8558179305669174E7	-1.8558179305669174E7
1430000	-1.855966998644824E7	-1462.3766844384554	-1.85582076097638E7	-1.85582076097638E7
1440000	-1.8559639235495258E7	-1461.4367749259593	-1.8558177798720334E7	-1.8558177798720334E7
1450000	-1.8559692986501373E7	-1461.8332725900518	-1.8558231153228782E7	-1.8558231153228782E7
1460000	-1.8559673761192694E7	-1461.4069815137314	-1.855821235421118E7	-1.855821235421118E7
1470000	-1.8559482273615953E7	-1461.4135372033375	-1.855802086007875E7	-1.855802086007875E7
1480000	-1.8559702650357854E7	-1462.074215794841	-1.8558240576142058E7	-1.8558240576142058E7
1490000	-1.8559707903317314E7	-1462.754296633815	-1.855824514902068E7	-1.855824514902068E7
1500000	-1.8559666622899562E7	-1462.4151896319222	-1.855820420770993E7	-1.855820420770993E7
1510000	-1.8559680486946143E7	-1461.1472035473194	-1.8558219339742597E7	-1.8558219339742597E7
